author_id,created_at,text
2455001628,2025-01-22 05:30:42+00:00,"Rajasthan Gang Busted for Job Scam, Cyber Fraud Using Students’ Bank Accounts

Fallen victim to cybercrime? Call RTIwala at 7999506996 and uncover the truth today! 

Source : Check our comment

#RTIwala #Legaltech #AskRTIwala #MaukaGanwao #Digikavach #JobScamAlert https://t.co/l3bESj2ZO0"
112524269,2025-01-22 00:59:07+00:00,@palis I like the fake job offer ones. They ask me I want some fake job and I reply no thank you and it makes me feel like I am a highly sought-after talent.
1638425205050621952,2025-01-22 00:11:34+00:00,"@pbgomez_ Trump is right about the cartels. They're terrorist organizations 

https://t.co/5IvkyCdUSZ"
2471406283,2025-01-21 22:30:07+00:00,#hunterba We get another memorie of Yume getting stuck in a false job scam and almost kidnapped till Hoshino busted her out. Hoshino calls her naive again but Yume things even if it ends up being a lie as president she need to try to keep helping people. https://t.co/CuTAVudk6n
2923183531,2025-01-21 17:56:31+00:00,"Scammers may offer you job opportunities, high earnings, or the chance to work from home, but they will require you to pay upfront before they help you. If you pay them, you will lose your money and won’t get a job. Learn more at https://t.co/iVEnqizHW4 https://t.co/VKa6o17z3K"
739632880897413122,2025-01-21 17:16:00+00:00,"""Strange. My company didn't have any open positions. And anyone bothering to go to the website would immediately see it's a consumer product brand that has nothing to do with data entry.""

https://t.co/UcMRbvXc2l #linkedin #scam"
269394622,2025-01-21 15:39:50+00:00,@suisei_virus It's a common job scam that ends in task scams where you basically do stuff either for them for free or do illegal stuff like money laundering that you might not notice.
1070780884008226819,2025-01-21 15:25:56+00:00,"War of words intensifies between @JKNC_ and @jkpdp over job scam allegations.
@IfraJan_ @IltijaMufti_
#JammuAndKashmir #LatestNews @OmarAbdullah @MehboobaMufti https://t.co/Hsoxt84TvQ"
1218562533595893760,2025-01-21 15:09:35+00:00,"@suisei_virus This is a common job scam using what'sapp, best practice is to just block and ignore, they will come in waves with new numbers usually but it's always the same message of a job opportunity."
1863119742057304064,2025-01-21 13:46:04+00:00,Madras High Court Sends Notice to Former AIADMK Minister Bhalaji Over Job Scam https://t.co/Md20DioVIb
1863119742057304064,2025-01-21 07:19:46+00:00,Assets Worth Rs 2.22 Crore Seized from Job Scam Perpetrator in J K https://t.co/nM65hZPj90
1524757200941592577,2025-01-21 00:23:05+00:00,"@ctvottawa According to the Treasury Board of Canada Secretariat, there were 13,092 employees at Immigration, Refugees and Citizenship Canada in 2024. That’s up from 10,248 in 2022 and 7,800 in 2019.   3300 isn't even going back to 2019 levels.   Trudeau job scam at work."
1209020678810288128,2025-01-20 19:52:36+00:00,"High Salary Abroad Job Scam
#trending #viralvideo #trendingvideoe #digitalarrest #socialawareness #humanity #savehumanity #help #helphumanity #protecthumanity #computertips #mobiletips #onlinefrauds #callforward #loanappscam

https://t.co/ZITNXESdPE"
2259414716,2025-01-20 19:04:02+00:00,"Looking for a job should feel exciting, not risky! Join our upcoming free webinar to stay one step ahead of scammers. You will learn: types of #job scams, how they operate and red flags to watch for in job ads.
Jan 23 @ 1 pm, via Zoom. Save your spot here: https://t.co/55OhdvDQ2d https://t.co/gjivQ9xhhc"
1355246058,2025-01-20 17:43:19+00:00,"@ousterlidar To let you know, there is a job scam being run using your employee Tien Van's identity. My husband was interviewed over Skype and offered a job with your company (including  offer letter) with someone posing as Tien Van. We are contacting the FTC and all other necessary entities."
92745576,2025-01-20 12:20:32+00:00,"Job scam alert! Our company's name is being used for a job scam, please do not click on any links or engage in any conversation with the impersonators. 
@adamsandbutler https://t.co/p6ZTKro6ef"
1779268059493986304,2025-01-20 12:10:17+00:00,using textnow to give me a fake job offer is crazy work… i’ve truly seen it all 😭😭
934082556,2025-01-20 10:15:13+00:00,"The Mangaung Metro Municipality (MMM) has warned residents of a fake job advert that is being circulated on social media.

Read More:
https://t.co/pJoy7BReeP"
1347799197634891777,2025-01-20 08:06:43+00:00,"This ID on telegram with username as @grouptask168
Is also part of the telegram scam or
Part time job scam also known as Task job scam 
Thanks @telegram for marking this id as a scam.

@smstelegram 
@telegram_es 
@telegram_it 
@mpcyberpolice 
@Cyberdost https://t.co/BsBfKS0HQ4"
3378683890,2025-01-20 05:30:08+00:00,"Cryptocurrency Relationship Manager

Lazarus fake job offer for Operation 99 or Contagious Interview 

Salary $200k + bonus + tokens x_x https://t.co/LKGlaZu467"
1324624272,2025-01-20 05:12:34+00:00,"@InGoa24x7 Shame on double engine commission feeders!

Job scam, land scam, commission from vendors and contractors, sub-standard work, has become signature of this broken double engine and now this."
850529200645828609,2025-01-20 02:43:08+00:00,"@RahulGandhi 
Respected Rahul Gandhi sir there is a big job scam going in ranchi .. I lost my money of 1000rs and they are not returning my money I'm from a very poor family ... They are telling me that first you have to go legal against us . Sir I don't know what to do please 🙏"
1330144912743018500,2025-01-19 13:59:58+00:00,"After stoic silence over land grab scam, job scam, land conversion etc. probably new instalment to split opposition votes has been made by @BJP4Goa that’s why झोपलेला जागा झाला."
997581688749379587,2025-01-19 13:43:24+00:00,New York Attorney General Files Lawsuit to Recover $2.2 Million in Cryptocurrency from Job Scam https://t.co/LmFF7q9vxl
3037108544,2025-01-19 13:38:16+00:00,New York Attorney General Files Lawsuit to Recover $2.2 Million in Cryptocurrency from Job Scam https://t.co/GW65BX7q8A
1197475838956130304,2025-01-19 11:29:08+00:00,You are being scammed. NEVER take communication off platform. This is a !job scam and the !fakecheck will be fake.
17836555,2025-01-19 11:24:20+00:00,@JohnDor13204139 @CraigMurrayOrg The govt is clearly trying to hide a huge job scam somewhere. Hundreds of thousands must be getting secret stalking money. To hide 2020 mess. They unplugged millions off their 2008 work programmes but they still won't leave us alone. Total misery for my life.
2472455929,2025-01-19 10:06:04+00:00,"Shivam Patil, accused of stealing a foreign tourist's mobile worth ₹1.30 lakh in Morjim, has been arrested by Mandrem Police. Shocking revelation: Patil was previously involved in a Goa govt job scam flagged during a recruitment process
#crime #goa #news #theft #Scam https://t.co/wSktxxNwQy"
17627607,2025-01-19 09:41:37+00:00,"@RealJamesWoods This is RICO-level EMBEZZLEMENT.  The money was spent, not wasted. Like a no-show mob job scam.  The funds must be clawed back for no services rendered and prosecute the grifters and buddies the Dems paid to siphon taxpayers money to their own cushy jobs and non-profit coffers"
1513494017748910086,2025-01-19 04:08:27+00:00,"@justinwrites I'd put this at 95% a scam (5% chance it's just a dumb social media stunt). Likely either a crypto pump-and-dump scheme, a fake job scam, or a data-harvesting operation.

Would not recommend interacting unless you want to see how deep the scam goes for research purposes."
1577376427485315091,2025-01-19 01:59:33+00:00,NY Attorney General files lawsuit to recoup $2.2M in crypto lost to job scam
62381986,2025-01-18 16:36:07+00:00,I didn’t even get hit with the job scam and I’m hot. Boy if I get scammed it’s rabbit season. And I will find you. Sweet Jesus is will
1467228402,2025-01-18 16:31:28+00:00,"@ShashiK65800175 Hi, we confirm that the information you have provided does not belong to IndiGo. It appears that certain people are fraudulently trying to collect money from you on the basis of a fake job offer. Please do not make any payment in response to the letter. ~Rupali"
42347926,2025-01-18 11:53:28+00:00,"Part-time job scam; kindergarten teacher loses RM30,759 in JB

#latest #vanakkammalaysia #Part-timejobscam #kindergartenteacher #loses #JB #trendingnewsmalaysia #malaysiatamilnews #fyp #vmnews #foryoupage https://t.co/LsBFtBQLfY"
1367315754962534403,2025-01-18 11:39:29+00:00,@BCBacker I don’t believe it’s Trump. My gut tells me it’s a hack job/scam. This wouldn’t end well for Trump if the token tanks. Why would he put himself at risk like that? I just don’t see it’s him.
1817822924809916416,2025-01-18 07:50:28+00:00,"🚨 JUST IN: NY Attorney General sues to recover $2.2M in crypto lost to a job scam. Victims were tricked into buying crypto under the false promise of “well-paying, flexible jobs.” https://t.co/iT0mOOPvTD"
1818481228728905728,2025-01-18 07:50:19+00:00,"🚨 JUST IN: NY Attorney General sues to recover $2.2M in crypto lost to a job scam. Victims were tricked into buying crypto under the false promise of “well-paying, flexible jobs.” https://t.co/vmvoUmbYH6"
1818475543547068416,2025-01-18 07:49:55+00:00,"🚨 JUST IN: NY Attorney General sues to recover $2.2M in crypto lost to a job scam. Victims were tricked into buying crypto under the false promise of “well-paying, flexible jobs.” https://t.co/zu7UG2Fyfa"
1718569792054108160,2025-01-18 07:49:40+00:00,"🚨 JUST IN: NY Attorney General sues to recover $2.2M in crypto lost to a job scam. Victims were tricked into buying crypto under the false promise of “well-paying, flexible jobs.” https://t.co/3iAnp2XIYN"
1868342121264254976,2025-01-18 07:49:10+00:00,"🚨 JUST IN: NY Attorney General sues to recover $2.2M in crypto lost to a job scam. Victims were tricked into buying crypto under the false promise of “well-paying, flexible jobs.” https://t.co/7PuOHaNN1M"
1824492751859417088,2025-01-18 07:48:52+00:00,"🚨 JUST IN: NY Attorney General sues to recover $2.2M in crypto lost to a job scam. Victims were tricked into buying crypto under the false promise of “well-paying, flexible jobs.” https://t.co/2oX2oL97X7"
1737809043681693696,2025-01-18 07:48:37+00:00,"🚨 JUST IN: NY Attorney General sues to recover $2.2M in crypto lost to a job scam. Victims were tricked into buying crypto under the false promise of “well-paying, flexible jobs.” https://t.co/8pOmrEgxBt"
1680450542777282560,2025-01-18 07:48:29+00:00,"🚨 JUST IN: NY Attorney General sues to recover $2.2M in crypto lost to a job scam. Victims were tricked into buying crypto under the false promise of “well-paying, flexible jobs.” https://t.co/dZwAlXZBrV"
1753144656161116160,2025-01-18 07:48:23+00:00,"🚨 JUST IN: NY Attorney General sues to recover $2.2M in crypto lost to a job scam. Victims were tricked into buying crypto under the false promise of “well-paying, flexible jobs.” https://t.co/6pKp1iyHns"
22594051,2025-01-18 07:21:13+00:00,"Johor Baru South OCPD Asst Comm Raub Selamat said the incident began on Jan 15 when the woman was enticed by a part-time job advertisement on Facebook offering high commissions for simple tasks.
https://t.co/BlVPjfL7J5
https://t.co/BlVPjfL7J5"
42347926,2025-01-18 07:07:19+00:00,"Part-time job scam; kindergarten teacher loses RM30,759 in JB

#latest #vanakkammalaysia #Part-timejobscam #kindergartenteacher #loses #JB #trendingnewsmalaysia #malaysiatamilnews #fyp #vmnews #foryoupage https://t.co/sGzfS3fk8U"
1250652879527895041,2025-01-18 06:15:26+00:00,"Indian Embassy In Myanmar Facilitates Repatriation Of Nationals From Myawaddy Job Scam Centre 

#India #Myanmar 

 https://t.co/4KmcvNtYu5"
1577376427485315091,2025-01-18 05:43:06+00:00,NY Attorney General files lawsuit to recoup $2.2M in crypto lost to job scam
55186601,2025-01-18 05:33:15+00:00,"#NSTnation  Kindergarten teacher loses RM30,000 to part-time job scam 

https://t.co/DJbKccmr2s"
1863119742057304064,2025-01-18 05:28:42+00:00,Indian Embassy in Myanmar Aids Repatriation of Nationals from Myawaddy Job Scam Hub https://t.co/M4gcHIe0fx
1839560411093348352,2025-01-18 04:34:43+00:00,"Faiyaz Khan, Mustaq Siddiqui, and Vishwanath Singh Arrested for Job ScamThree individuals, Faiyaz Khan, Mustaq Siddiqui, and Vishwanath Pratap Singh, were arrested by the police in Delhi-NCR for their involvement in a large-scale job scam. The accused, ...
https://t.co/qOSm1DN35M https://t.co/O2tQm34N2h"
1826127601292947457,2025-01-18 02:28:06+00:00,"@Juanita2293 @CarlZha What's even worse is young people get fake job offer abord, and when they aboard, local warloard constraint, beat them, force then do scam, they could get killed for rejecting.
Fella Americans please be aware, do not trust any job offer easily, especially job in south east Asia!!"
1577376427485315091,2025-01-18 02:19:25+00:00,NY Attorney General files lawsuit to recoup $2.2M in crypto lost to job scam
3119246530,2025-01-17 21:27:09+00:00,Be on the lookout for these signs of a job scam during a #jobsearch. #selfimprovement  https://t.co/U4QVdUHqGj
882165764228132864,2025-01-17 20:48:59+00:00,"🚨 Job Scam Alert 🚨

A friend recently applied for a job at @AAI_Official and soon received a call for an interview. After one round, they were sent an ""offer letter"" that looked legitimate, but there was a catch. They were asked to pay for shipping a laptop and other equipment,… https://t.co/waxm9itEwf"
1354825354398019584,2025-01-17 14:51:09+00:00,"@PicturesFoIder If I could do it all over again, I'd go straight to commercial driving and skip useless college.
$10k for 3 months, in a program I could have learned on the job.
Scam!"
1700428295568072704,2025-01-17 14:08:11+00:00,1. Jharkhand HC strikes down relaxation in qualifying marks for para teachers 2. 2nd JPSC job scam: Ranchi CBI court summons 72 including ex-Chairman 3. Jharkhand’s Salima Tete receives Arjuna Award from President Murmu  https://t.co/llcwSDRat1
1700428295568072704,2025-01-17 13:04:57+00:00,"2nd JPSC job scam: Ranchi CBI court summons 72, including ex-Chairman, members #JharkhandNews https://t.co/FuFnge0AbO"
1417837132152856576,2025-01-17 13:02:56+00:00,"2nd JPSC job scam: Ranchi CBI court summons 72, including ex-Chairman, members https://t.co/I8fxuyDCow"
576045420,2025-01-17 12:10:19+00:00,"@airtelindia team's unprofessional behaviour has surpassed all limits. After 20+ calls to the call centre's, DMing them and talking to multiple supervisors they refuse to refund my deposit for mesh and cancel my plan when it is THEM who refuse to do their job! #scam #airtelscam"
1808249588874190850,2025-01-17 12:05:02+00:00,"🚨 SU Job Scam Alert 🚨

We have been made aware of a Swakop Uranium Vacancies scam. Please DO NOT respond or click on any suspicious links. For legitimate job opportunities, please contact us directly through our official social media channels. https://t.co/ZX8G4joVDh"
885057023393529857,2025-01-17 11:58:42+00:00,How I deal with those part time hotel job scam gcs https://t.co/KOvc9pxQer
1880210066399510528,2025-01-17 11:40:20+00:00,"🚨 We’ve uncovered a MASSIVE job scam! 🚨 But here’s the twist – we’re launching a meme coin to take a stand against it! 💥 Get ready for something fun, impactful, and revolutionary. Stay tuned! 🚀 #JobScamExposed #MemeCoinLaunch #CryptoRevolution #FightBack #StayTuned"
1605706451241996288,2025-01-17 10:35:51+00:00,"@cyber_suport001 
Hello sir
I lost 1314000 in telegram part time job scam which is my total 3years saving for my sisters marriage .please  sir kundlt help me to recover my lost amount. For any futher information about scam please pin me sir."
937962626222497793,2025-01-17 09:50:37+00:00,Court Summons Lalu Prasad Yadav for Land-for-Job Scam Hearing https://t.co/9as8J27M5O
2177811649,2025-01-17 09:43:45+00:00,mp apex bank job scam .... please kindly focus and investigate this issue...respected @DrMohanYadav51 @PMOIndia
1176546593861820416,2025-01-17 07:47:42+00:00,Job scam : Former Minister’s brother granted bail https://t.co/ZlWCCXcpey
1165942456535285761,2025-01-17 07:36:08+00:00,"JOB SCAM ALERT🚨
#TNTVLRPOLICE https://t.co/UKoVo1DJMz"
1350670090790871040,2025-01-17 07:21:32+00:00,"For context, read this.
@thewire_in @shimray2011 @rlungleng @Diggi00007 @LevinaNeythiri @jeegujja @vijaita @afridahussai @reporters_co @debanishachom @BisoyaLoitongb1 @th_robert @HRHlenn @KSO_tlm @thikokthikok @imPswu @HillsJournal 
https://t.co/lcgYQP6T63"
55186601,2025-01-17 07:08:22+00:00,"#NSTnation Two Thai men who hoped to work in Malaysia recounted how their dreams were shattered after they were sentenced to five years in prison after falling victim to a job scam syndicate.

https://t.co/TTvyjSlaX6"
55186601,2025-01-17 07:00:26+00:00,#NSTnation Two Thai men who hoped to work in Malaysia recounted how their dreams were shattered after they were sentenced to five years in prison after falling victim to a job scam syndicate. https://t.co/TTvyjSlaX6
1494247980521586689,2025-01-17 06:51:16+00:00,@harshasai_ brother help me 😭 I'm in a big trouble I lost my all savings in work from home job scam please help me 😭🙏🏻
